162.159.204.71:2408,171 ms
162.159.204.226:1701,187 ms
162.159.204.27:4500,229 ms
188.114.98.198:968,244 ms
162.159.195.98:987,245 ms
188.114.96.219:3854,246 ms
188.114.96.170:945,247 ms
188.114.96.150:3476,248 ms
188.114.96.204:2371,248 ms
188.114.99.231:2371,248 ms
188.114.96.189:7559,248 ms
188.114.99.150:5279,249 ms
188.114.97.53:880,249 ms
188.114.99.220:7152,249 ms
188.114.98.222:1070,249 ms
188.114.97.64:988,250 ms
162.159.192.77:988,250 ms
162.159.195.50:2506,250 ms
188.114.99.54:1074,251 ms
188.114.96.87:942,251 ms
162.159.192.207:943,251 ms
188.114.97.92:880,251 ms
188.114.98.59:1002,252 ms
188.114.99.98:1070,252 ms
162.159.195.91:891,252 ms
188.114.96.244:928,253 ms
188.114.96.91:5956,254 ms
188.114.98.245:1070,254 ms
188.114.97.238:934,254 ms
188.114.96.64:7152,254 ms
188.114.99.113:2371,255 ms
162.159.192.42:854,255 ms
188.114.99.218:8886,255 ms
162.159.195.24:8742,255 ms
188.114.96.75:1018,255 ms
188.114.97.205:1843,255 ms
188.114.97.245:1387,255 ms
188.114.99.163:1701,256 ms
162.159.195.19:3138,256 ms
188.114.97.101:7103,256 ms
188.114.96.159:945,256 ms
188.114.97.116:5956,256 ms
188.114.99.105:894,256 ms
162.159.192.218:7281,256 ms
188.114.98.52:7103,257 ms
188.114.97.113:988,257 ms
188.114.96.183:939,258 ms
188.114.96.247:8886,258 ms
188.114.96.100:7152,258 ms
188.114.98.217:894,259 ms
188.114.96.101:2506,259 ms
188.114.96.94:934,259 ms
188.114.99.39:8742,260 ms
188.114.97.7:890,260 ms
188.114.99.205:8854,260 ms
188.114.98.158:945,260 ms
188.114.98.138:1180,262 ms
188.114.97.216:3581,262 ms
188.114.99.32:1002,262 ms
188.114.96.24:5279,262 ms
188.114.99.239:8319,262 ms
162.159.192.245:864,262 ms
188.114.99.122:7152,262 ms
188.114.96.132:928,262 ms
188.114.98.177:945,263 ms
188.114.97.134:1070,263 ms
162.159.195.150:1843,263 ms
188.114.99.230:7152,263 ms
188.114.98.168:1010,264 ms
188.114.97.152:3854,264 ms
162.159.195.157:2506,264 ms
188.114.98.122:903,265 ms
188.114.97.226:903,265 ms
188.114.97.146:934,265 ms
188.114.96.155:1018,266 ms
188.114.99.63:2506,266 ms
188.114.96.215:1014,266 ms
188.114.97.121:988,267 ms
162.159.192.34:854,267 ms
188.114.97.109:878,267 ms
188.114.96.147:4198,267 ms
188.114.98.43:7281,267 ms
188.114.99.249:3854,268 ms
188.114.99.170:934,268 ms
188.114.97.12:988,268 ms
188.114.96.179:988,268 ms
188.114.96.51:859,268 ms
188.114.98.112:988,268 ms
188.114.99.124:854,269 ms
162.159.192.238:854,269 ms
162.159.192.130:1010,269 ms
162.159.195.60:4198,269 ms
188.114.97.48:8854,269 ms
188.114.96.148:903,270 ms
162.159.195.183:946,270 ms
188.114.98.49:1843,271 ms
162.159.195.209:3581,271 ms
188.114.99.185:908,271 ms
